% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.822591462e+05 +2.822591462e+05 +2.824082962e+05 +2.824082962e+05 +2.1100e+00 +3.6243e+00 -2.0231e+00 -3.3127e+00 +1.8157e+00 -2.1679e+00 -4.5959e+00 -2.7165e+00 +9.8049e-01 -2.5840e+00 -2.0464e+00 +3.7229e+00 -4.0501e-03 -3.3205e+00 -2.4972e+00 +1.3857e+00 +3.0500e+00 -2.6657e+00 +1.0292e+00 -3.0897e+00
8 +2.384079308e+05 +2.384079308e+05 +2.385570808e+05 +2.385570808e+05 +1.0440e+00 -4.1274e+00 -3.1267e+00 -1.8863e+00 -3.0843e+00 +4.6786e-01 -9.7506e-01 -6.5532e-01 +3.2055e+00 +2.8562e+00 +3.1453e+00 -4.4676e+00 +2.5964e+00 -8.5015e-01 +7.4194e-02 +6.0790e-01 +2.2433e+00 -1.6207e+00 -3.0961e-01 +4.7945e+00
17 +1.066942993e+05 +1.066942993e+05 +1.068434493e+05 +1.068434493e+05 -6.2067e-01 -4.9047e+00 -1.8737e+00 -3.3540e+00 -2.7012e+00 -2.7258e+00 -3.4766e+00 -2.6249e+00 +1.6841e+00 +3.0873e+00 -2.3624e+00 -9.0241e-01 -1.6920e+00 -2.3591e+00 -1.2495e-01 +2.4310e+00 +9.5367e-01 -1.3574e+00 +2.4853e-01 +4.0891e+00
96 +8.330977207e+04 +8.330977207e+04 +8.345892207e+04 +8.345892207e+04 +7.9308e-01 -4.2146e+00 -8.2428e-01 -1.2769e+00 -1.0255e+00 -4.5979e+00 -1.7345e+00 -2.4954e+00 +6.8145e-01 -9.7989e-01 -2.1443e-01 -9.4317e-01 +3.6704e+00 +2.3751e+00 -1.3524e+00 -5.1703e-02 +2.7660e+00 -3.0996e+00 -1.7886e+00 -9.6631e-01
283 +5.408649680e+04 +5.408649680e+04 +5.423564680e+04 +5.423564680e+04 +2.0992e+00 +2.1183e+00 +1.0697e-01 +2.4589e+00 -6.4138e-01 -9.7312e-01 -1.5847e+00 +7.3608e-01 -9.4129e-01 -3.3202e+00 +1.4142e-02 +1.2900e-01 +2.6709e-01 -1.6080e+00 +1.1093e+00 -3.3456e+00 -2.4827e+00 -1.0809e+00 -8.2594e-01 +6.4208e-01
423 +3.597327441e+04 +3.597327441e+04 +3.612242441e+04 +3.612242441e+04 -3.2456e+00 +2.6837e-01 -2.7288e+00 -2.3591e+00 -9.7583e-01 -2.1121e+00 -2.9311e+00 -1.0781e+00 -2.9040e+00 -2.4237e+00 -4.8837e+00 -1.0643e-01 +1.7380e+00 -6.4046e-01 -2.6565e+00 -9.0981e-01 -1.3450e+00 -1.6135e+00 +6.0583e-01 -1.1495e-01
608 +1.959253743e+04 +1.959253743e+04 +1.974168743e+04 +1.974168743e+04 +7.0754e-01 +0.0000e+00 -2.7920e+00 -3.1749e-01 -5.0000e+00 -4.9088e-01 -3.4555e+00 -2.6567e+00 -5.5239e-01 +0.0000e+00 +0.0000e+00 +1.6106e+00 +1.9796e+00 -7.3802e-01 -2.5559e+00 -5.9656e-01 -3.4535e+00 -5.3435e-01 -2.4133e-01 -1.6450e-01
708 +1.484973199e+04 +1.484973199e+04 +1.499888199e+04 +1.499888199e+04 +1.6810e+00 -5.5740e-01 -2.4685e+00 +2.8992e+00 -5.0000e+00 -7.0061e-01 -4.2219e-01 -2.4420e+00 +3.6519e-01 -3.1615e-01 -4.1837e+00 +6.1803e-01 +4.5475e+00 -4.2257e-01 -1.2251e+00 -3.0990e-01 +3.2473e-01 +1.4895e+00 -1.3182e+00 -1.5056e+00
1049 +7.435338243e+03 +7.435338243e+03 +7.584488243e+03 +7.584488243e+03 -2.5148e+00 +7.0612e-01 -2.1037e+00 +2.7499e+00 -5.0000e+00 -7.4688e-01 -7.1743e-01 -9.1072e-01 -5.5050e-01 -1.1388e+00 -3.6093e+00 +9.4016e-03 +0.0000e+00 -5.6490e-01 -1.7793e+00 +4.9551e-02 -2.4950e-01 +6.7637e-01 -2.5741e+00 -3.1213e+00
1518 +5.371405894e+03 +5.371405894e+03 +5.520555894e+03 +5.520555894e+03 +5.5888e-01 -1.7255e-01 -1.7148e+00 +2.0932e+00 -5.0000e+00 -8.5725e-01 -5.7052e-01 -1.6248e+00 -2.0126e-01 -1.5100e+00 -4.1246e+00 +6.7371e-01 +2.7380e+00 -6.6133e-02 -6.5755e-02 +5.2998e-01 -8.9517e-01 -5.8856e-01 -1.0294e+00 -3.1680e+00
