% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.181040681e+03 +1.181040681e+03 +1.164100681e+03 +1.164100681e+03 +8.1285e-01 +8.1948e-01 +4.2077e+00 -1.7627e+00 -4.1799e+00 +9.2620e-01 -1.5880e+00 -4.2324e+00 +3.0684e+00 +4.1875e+00 +4.5250e+00 -4.6817e+00 -7.8447e-01 -3.2533e+00 -4.3657e+00 -3.4695e+00 -1.8273e+00 +2.4476e+00 +1.8825e+00 -1.1511e-01
2 +6.712409678e+02 +6.712409678e+02 +6.543009678e+02 +6.543009678e+02 +5.9733e-01 +4.7200e+00 -1.0148e+00 -2.7438e+00 +2.8290e+00 -2.3416e+00 -3.6725e+00 +1.6521e+00 -2.0108e+00 +1.4362e+00 +1.3936e+00 +1.4160e+00 +5.8580e-01 +4.1420e+00 +4.5637e-02 -2.6720e+00 -2.9014e+00 -1.4831e+00 +4.7069e+00 +2.9816e+00
4 +2.648641081e+02 +2.648641081e+02 +2.479241081e+02 +2.479241081e+02 -3.5129e+00 +8.6234e-01 -2.7272e-01 -3.0324e+00 +1.4391e-01 +3.6187e+00 +3.5406e+00 -2.1193e+00 +2.5033e-01 -1.7775e+00 -4.5806e+00 -3.3050e+00 -4.1841e+00 +4.6658e+00 +3.8140e+00 -1.0527e+00 +2.5380e-01 -4.4984e+00 +2.3280e+00 +4.3456e+00
10 +1.644317062e+02 +1.644317062e+02 +1.474917062e+02 +1.474917062e+02 +2.6281e+00 +1.0650e+00 +1.0317e-01 -1.2791e+00 +3.8973e+00 -2.0830e+00 -4.3344e+00 +2.8811e+00 -4.4664e+00 +4.2912e+00 +3.6322e+00 +2.3484e-01 -1.4814e+00 -9.3370e-01 -4.8926e-01 -4.6198e+00 +3.4998e+00 +4.1886e-01 +1.7628e+00 +1.8317e+00
11 +8.497268314e+01 +8.497268314e+01 +6.803268314e+01 +6.803268314e+01 +1.5546e+00 -2.8758e+00 +2.3949e+00 +1.4625e-02 +4.8806e+00 -4.1871e+00 +5.0739e-01 +2.5434e+00 +2.1537e+00 -1.4492e+00 +3.0718e+00 +2.5875e+00 -1.9970e+00 -3.8569e+00 +3.5192e+00 +4.7927e+00 -5.9391e-01 -4.1311e+00 +4.4522e+00 +1.0450e+00
38 +6.292804092e+01 +6.292804092e+01 +4.598804092e+01 +4.598804092e+01 +1.7969e+00 -3.8646e+00 +9.3137e-01 +3.8244e+00 +4.7989e+00 +4.7375e+00 +5.2557e-01 -4.8334e+00 -8.9431e-01 -2.6351e+00 +3.3665e+00 +8.5925e-01 +1.7733e+00 -1.9661e+00 -2.1276e-01 +4.7928e+00 +3.7022e+00 +2.6878e+00 -2.4394e+00 +1.7869e+00
165 +3.667710513e+01 +3.667710513e+01 +1.973710513e+01 +1.973710513e+01 +6.8659e-01 -2.3175e+00 -1.1269e+00 +2.1233e+00 +5.0000e+00 +1.2779e+00 +9.8621e-01 -2.7112e+00 +1.0375e+00 -2.0485e+00 +2.7366e+00 -2.6185e-03 +0.0000e+00 +0.0000e+00 +2.4994e+00 +4.6923e+00 +3.3526e-01 +3.2037e+00 -2.2349e+00 -5.8467e-01
2976 +2.319796023e+01 +2.319796023e+01 +6.257960234e+00 +6.257960234e+00 +2.3100e+00 -2.2339e+00 +3.1088e+00 +2.3884e-01 +4.9056e+00 -8.4713e-02 +1.9981e+00 -1.7451e+00 -1.9547e+00 -7.6502e-01 +5.0000e+00 -3.0503e+00 -1.7874e+00 -3.3732e+00 -1.2705e+00 +1.7358e+00 +3.5905e+00 +2.5652e+00 +7.8779e-01 +4.7043e+00
10348 +1.542194623e+01 +1.542194623e+01 -1.518053769e+00 -1.518053769e+00 +3.8748e+00 -7.4342e-01 -1.0792e+00 -7.5299e-01 +3.0998e+00 -1.5666e-01 +1.6204e+00 -2.0822e+00 -4.7355e-01 -1.4233e+00 +3.9649e+00 -2.6057e+00 -1.8518e+00 -7.8542e-01 +3.1634e+00 +2.8395e+00 +4.9347e+00 -3.4220e-01 +1.1535e+00 +3.3372e+00
144080 +9.880288141e+00 +9.880288141e+00 -7.059711859e+00 -7.059711859e+00 +4.4615e+00 +2.8567e+00 -1.1951e+00 +8.7867e-01 +3.0450e+00 -1.3783e+00 +3.8661e+00 -4.2985e-01 +1.7672e+00 -4.4804e+00 +2.9245e+00 +1.0115e+00 -3.4562e+00 -1.0844e+00 +4.8357e+00 +5.0000e+00 +4.7382e+00 -2.7364e+00 -2.8374e-01 +3.6792e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.066874339e+01 +9.066874339e+01 +1.094787434e+02 +1.094787434e+02 +1.0402e+00 +3.1484e+00 -2.5433e+00 +3.8949e+00 -3.9709e+00 -3.3064e+00 -3.9585e+00 +2.3315e+00 +1.0346e+00 -1.5980e+00 +1.4312e+00 +3.5419e+00 +1.4829e+00 +2.6937e-01 +1.7989e+00 +1.1973e+00 -3.0414e+00 +2.0675e+00 +3.9699e+00 -3.8278e+00
41 +4.774718355e+01 +4.774718355e+01 +6.655718355e+01 +6.655718355e+01 -5.4335e-02 -3.7287e+00 +1.9057e+00 +3.0021e+00 -4.7495e-01 -2.2120e+00 -2.4732e+00 -1.1299e+00 -1.7270e+00 +3.2141e+00 -2.6927e+00 +4.8264e+00 +2.6903e+00 +1.1667e+00 -2.1185e+00 -1.2803e+00 -4.1712e+00 +2.4407e+00 -1.1797e+00 +9.4290e-01
61 +3.690084216e+01 +3.690084216e+01 +5.571084216e+01 +5.571084216e+01 +1.3021e+00 -2.0891e+00 +5.7541e-01 -2.4024e+00 -2.7583e+00 -9.9788e-01 -3.1624e-01 -2.5088e-01 +1.4762e-01 +2.7138e+00 -4.7879e+00 -2.1851e-01 +3.9094e+00 +6.6833e-01 -4.1681e+00 -1.6868e+00 -1.1495e+00 +1.2591e+00 +2.5478e+00 +2.7877e+00
453 +2.448668251e+01 +2.448668251e+01 +4.329668251e+01 +4.329668251e+01 +1.4352e+00 -2.2368e+00 -7.9217e-01 +2.2504e+00 +1.1351e-01 -1.3191e+00 +5.0000e+00 +2.2890e-01 -3.6454e-01 +1.7353e+00 -5.0000e+00 +3.9684e+00 +4.4740e+00 +5.0000e+00 -1.9965e+00 -9.7245e-01 +1.7179e+00 +4.7863e+00 +2.6886e+00 +2.9012e+00
2797 +1.487232478e+01 +1.487232478e+01 +3.368232478e+01 +3.368232478e+01 +1.7584e+00 +2.4446e-01 -4.0183e-01 -1.9573e+00 -9.2937e-01 -2.5140e+00 +5.0000e+00 +6.2333e-01 +1.8379e-02 +3.1822e+00 -4.6952e+00 -1.1040e+00 +3.8292e+00 +1.9787e-02 -4.9499e+00 -3.3307e+00 -2.8441e+00 +3.2634e+00 -6.4442e-01 +4.0064e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.499823860e+02 +2.499823860e+02 +5.231323860e+02 +5.231323860e+02 +3.2010e+00 +2.2907e+00 +1.2215e+00 +3.4516e+00 +7.9182e-02 -1.7167e+00 +1.4393e+00 +1.7512e+00 +4.9201e+00 +3.1307e+00 -1.5473e+00 -2.4489e+00 -4.4866e+00 -3.0603e+00 -8.4705e-02 +8.4950e-01 +3.2923e-01 +1.5501e+00 +9.2074e-01 +1.3866e-01
10 +8.382202324e+01 +8.382202324e+01 +3.569720232e+02 +3.569720232e+02 -3.6033e+00 +4.1370e+00 -5.1365e-02 +4.4905e-01 +4.7662e+00 +2.8898e+00 -1.8352e+00 -4.9375e+00 -1.3286e+00 +9.6959e-02 +9.1218e-01 +3.7725e+00 -4.5403e+00 +5.9102e-01 -5.0785e-01 +1.1158e-01 +3.7627e+00 +1.6475e+00 -2.7639e+00 -4.9653e+00
73 +6.071034895e+01 +6.071034895e+01 +3.338603490e+02 +3.338603490e+02 -3.2216e+00 +3.2107e+00 +4.2945e+00 +3.1799e+00 +1.4600e+00 -3.3481e+00 -3.8196e+00 -4.6698e+00 -2.4687e+00 -4.8847e-01 +4.6799e+00 +2.0740e+00 -5.0000e+00 -1.2079e-01 +4.0121e-01 -6.0336e-01 -1.7865e+00 -1.4484e-01 -3.4719e+00 -4.7513e+00
302 +3.654939298e+01 +3.654939298e+01 +3.096993930e+02 +3.096993930e+02 -2.8381e+00 +4.5163e+00 +2.4384e+00 -8.9774e-01 -1.2219e+00 -5.0000e+00 -2.7969e+00 -3.4154e+00 -5.0000e+00 +2.7183e+00 +3.7924e+00 -3.0771e+00 -5.0000e+00 -1.0557e+00 +2.8787e+00 -4.1318e+00 +4.7727e+00 -8.2545e-01 -5.0000e+00 +0.0000e+00
2339 +2.489108326e+01 +2.489108326e+01 +2.980410833e+02 +2.980410833e+02 -3.8281e+00 +4.1293e+00 +0.0000e+00 -1.2066e+00 -1.1151e+00 -5.0000e+00 -3.7497e-01 -1.6923e+00 -5.0000e+00 +3.4219e+00 +2.5119e+00 -1.6153e+00 -5.0000e+00 +2.7192e+00 +3.4989e+00 -1.5350e+00 +1.9367e+00 -2.4116e+00 -5.0000e+00 -2.8141e+00
172333 +1.571294885e+01 +1.571294885e+01 +2.888629489e+02 +2.888629489e+02 -4.1593e+00 +2.5701e+00 +3.1535e+00 -1.4463e+00 -2.3153e+00 -5.0000e+00 -1.2435e+00 -2.5463e+00 -5.0000e+00 +2.9725e+00 +4.6288e+00 -3.2480e+00 -5.0000e+00 +2.0170e-01 +5.0000e+00 -4.6976e+00 +2.8437e+00 -2.7085e+00 -5.0000e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.972337802e+01 +8.972337802e+01 +1.269033780e+02 +1.269033780e+02 -3.6625e+00 +3.8826e+00 -4.4761e-01 -2.0886e+00 -2.7902e+00 +2.5023e+00 +2.6275e+00 -1.9729e-01 +4.1144e+00 -4.1016e+00 -1.5545e+00 +2.7332e+00 -3.0956e+00 -2.3580e+00 +4.7920e+00 -2.1561e-01 +2.3317e+00 +2.3301e+00 -3.2598e+00 +3.3393e+00
2 +4.834329038e+01 +4.834329038e+01 +8.552329038e+01 +8.552329038e+01 -2.7805e+00 +4.6131e+00 -7.0350e-01 -3.6323e+00 -3.9776e+00 +1.1633e-01 -3.9720e+00 -7.0404e-01 -4.3557e+00 -1.6516e+00 +3.4929e+00 +3.5859e-01 +3.7658e+00 -4.0500e+00 +2.9400e+00 -1.3712e+00 +8.3926e-01 -2.4726e+00 +4.3503e-01 -5.6271e-03
84 +3.897524060e+01 +3.897524060e+01 +7.615524060e+01 +7.615524060e+01 -3.4190e+00 +6.6447e-01 -2.4943e+00 -1.0853e+00 -5.5041e-02 +2.6026e+00 -1.9565e+00 -3.5340e+00 -5.0000e+00 +1.8946e+00 +3.6049e+00 -1.8690e+00 +5.4548e-01 -3.7491e+00 +4.3061e+00 +3.7019e-01 +2.4203e+00 +3.8570e-01 -2.7672e+00 +2.0376e+00
639 +2.379242810e+01 +2.379242810e+01 +6.097242810e+01 +6.097242810e+01 -4.6002e+00 +1.3100e+00 +3.1546e+00 -5.0000e+00 -2.2179e+00 +2.6493e+00 -2.2919e+00 -5.0000e+00 +2.7939e+00 +1.8850e+00 +4.8276e+00 -2.8926e+00 +6.4851e-02 +3.7033e+00 +4.0461e+00 -3.4081e-01 +1.6248e-02 -8.3217e-01 +2.8515e+00 +2.6631e+00
