% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.046693363e+09 +5.046693363e+09 +5.046692742e+09 +5.046692742e+09 -2.2181e-01 -1.2372e+00 -2.9125e+00 +3.3126e+00 -2.0104e+00 +1.6081e+00 -3.6090e+00 -3.1297e+00 +1.2082e-01 -3.1893e+00 -1.7259e+00 -1.7030e-01 -3.1872e+00 +1.0993e+00 +8.6094e-01 -1.6924e+00 -2.5036e+00 +2.2002e+00 -1.9405e+00 -1.8309e-01
13 +3.787727251e+09 +3.787727251e+09 +3.787726630e+09 +3.787726630e+09 -2.2581e+00 -1.6014e+00 +1.2954e-01 +3.2358e+00 +4.4454e-01 +2.1569e-01 -3.5940e+00 -4.6955e+00 +1.2947e+00 -3.6917e+00 -7.6561e-01 +1.1660e+00 -3.3439e+00 +2.8777e+00 +5.4795e+00 -6.4310e-01 -2.5272e+00 +4.0264e+00 -1.8286e+00 -2.3972e+00
20 +2.451137856e+09 +2.451137856e+09 +2.451137234e+09 +2.451137234e+09 -3.7743e+00 +2.9101e+00 -2.6575e+00 +4.6913e+00 +1.2599e+00 +2.8108e+00 -4.5304e+00 -3.8543e+00 +6.5360e-01 -1.5925e+00 +1.0456e+00 +3.0698e-01 -3.0511e+00 +3.8269e+00 +2.0620e+00 -1.1592e+00 -2.9537e+00 +1.3872e+00 +1.3081e+00 -4.9032e+00
26 +1.019699347e+09 +1.019699347e+09 +1.019698726e+09 +1.019698726e+09 -5.0700e+00 +3.7769e+00 -1.2970e+00 +3.1467e+00 -2.5183e+00 +1.4611e+00 -4.3111e+00 -2.9983e+00 -1.1906e+00 -3.6536e+00 -1.9481e+00 +2.6002e+00 -5.7579e-01 +1.5086e+00 +5.0129e-01 -1.5145e+00 -2.4385e+00 +5.2557e+00 +8.4232e-02 -5.2641e+00
32 +9.316423022e+08 +9.316423022e+08 +9.316416811e+08 +9.316416811e+08 -3.6590e+00 +2.1343e+00 -1.0972e-01 -8.8615e-01 +5.9296e-01 +3.1051e-01 -1.5194e+00 -7.0025e+00 +5.1900e-01 -2.2627e+00 -1.6847e-01 +3.9458e-02 -1.4719e+00 +4.5629e+00 +2.9142e+00 -3.7654e+00 -3.5859e+00 +3.2938e+00 +1.9495e+00 +1.0229e+00
42 +5.035872693e+08 +5.035872693e+08 +5.035866482e+08 +5.035866482e+08 -5.1005e+00 +3.4179e+00 -3.1052e+00 -1.9193e+00 -9.1056e-01 +1.3126e+00 -1.1981e-01 -3.2768e+00 -5.0933e-01 -4.7596e+00 -1.2019e+00 +1.4691e-01 -9.2569e-01 +4.6883e+00 +1.9766e+00 -3.0760e+00 -3.8317e+00 +1.4119e+00 -1.1582e-01 -1.8439e+00
69 +3.609048861e+08 +3.609048861e+08 +3.609042650e+08 +3.609042650e+08 -5.4571e+00 +2.5478e+00 -1.7188e+00 +1.6049e+00 -3.3370e+00 -5.1535e+00 -2.3373e+00 -3.1109e+00 +2.4123e+00 -1.0269e+00 -1.3530e+00 +3.8089e-01 -5.6598e-01 +3.1901e+00 +1.5726e+00 -3.8837e+00 -2.1898e+00 +4.1485e+00 -1.7340e-01 +3.7809e+00
76 +2.431951269e+08 +2.431951269e+08 +2.431945058e+08 +2.431945058e+08 +2.2143e-01 +4.8140e+00 -1.0745e+00 -2.7960e+00 -5.4464e+00 -3.0232e+00 -6.0974e-02 -5.5507e+00 +8.4441e-01 +1.8075e-02 -4.4374e+00 +5.1040e+00 +8.2668e-01 +2.6116e+00 +1.0296e+00 -4.9159e+00 -4.3939e+00 +5.2170e+00 -7.1172e-01 -5.5236e+00
84 +1.537059439e+08 +1.537059439e+08 +1.537053228e+08 +1.537053228e+08 -4.8819e-01 +2.6484e+00 -2.2263e+00 +1.3086e+00 -3.2305e+00 -2.1166e+00 +4.1562e+00 -6.0509e-01 +2.3539e+00 -1.0867e+00 -4.2140e+00 +3.8537e+00 +9.5032e-01 +2.1757e+00 +3.6932e+00 -1.5884e+00 -3.5316e+00 +4.0156e+00 +3.1458e+00 -4.5432e+00
109 +6.887053761e+07 +6.887053761e+07 +6.886991650e+07 +6.886991650e+07 -6.1381e-01 +3.1029e+00 +7.8814e-01 -2.3168e+00 -1.9360e+00 -1.5136e+00 +6.2855e+00 -3.0493e-02 +2.9160e+00 +2.9241e+00 -2.6107e+00 +2.3640e+00 +4.0218e+00 +1.6471e+00 +1.9309e-01 -3.0952e+00 -2.1783e+00 +1.6955e+00 +7.6470e-01 -5.5974e-01
