% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.188232961e+02 +7.188232961e+02 +8.214332961e+02 +8.214332961e+02 +4.1386e+00 -5.5784e-01 -4.3761e+00 +3.6404e-01 -3.4289e+00 -1.1799e-01 -2.6251e+00 -3.5955e-01 +4.6506e+00 -6.9517e-01 -4.1616e+00 +4.7917e+00 -3.1418e+00 -1.2165e+00 +2.0187e+00 +1.1439e+00 -2.6251e-01 +1.7238e-01 -5.5059e-01 +3.2974e+00
4 +5.941927047e+02 +5.941927047e+02 +6.968027047e+02 +6.968027047e+02 -1.1901e+00 -1.1594e+00 +7.0038e-01 +1.8299e+00 -2.9742e+00 +3.2506e+00 -1.9827e-01 -4.2119e-01 -2.7927e+00 -1.5768e-02 +3.0447e+00 -2.5570e+00 -3.6564e+00 -1.6190e+00 -3.0731e+00 +2.4616e+00 -2.0479e+00 +6.8531e-01 -7.6293e-01 +3.0056e+00
52 +3.809945803e+02 +3.809945803e+02 +4.836045803e+02 +4.836045803e+02 -3.0242e+00 +1.5138e+00 +5.1255e-01 +5.0000e+00 -2.7331e+00 +9.8093e-02 -9.3473e-01 -4.0636e-01 -3.3782e-01 +1.7690e+00 -1.5202e+00 +5.2724e-01 -3.2359e-01 -2.0508e+00 -1.3551e+00 -1.3749e+00 -6.4407e-01 +8.2818e-01 -1.2650e-01 +2.7017e+00
785 +2.489390253e+02 +2.489390253e+02 +3.515490253e+02 +3.515490253e+02 -3.3919e-01 +2.1606e+00 -1.4123e+00 +1.3366e+00 -2.0284e+00 +5.2673e-01 -1.9056e+00 -1.5621e+00 -3.2889e+00 +1.8836e+00 -1.9999e+00 -1.4067e+00 +1.0910e-01 +2.4782e-01 -6.7625e-01 +2.6745e-02 -4.9330e+00 -2.4896e+00 +2.9407e+00 -9.1410e-01
25272 +1.584824418e+02 +1.584824418e+02 +2.610924418e+02 +2.610924418e+02 +2.0243e+00 +1.9970e+00 -1.0205e+00 +2.7708e+00 -1.4521e+00 -4.0693e-01 -2.8092e+00 -6.5692e-01 -2.4426e+00 +5.4410e-01 -1.9220e+00 -1.9499e+00 -1.9078e+00 +3.4294e-01 -9.0500e-01 -8.7540e-01 -2.6435e+00 -1.6517e+00 +2.2368e+00 -1.2079e-01
172453 +9.983274467e+01 +9.983274467e+01 +2.024427447e+02 +2.024427447e+02 +1.8087e+00 +5.7599e-01 -5.3600e-01 +2.7588e+00 -1.6080e+00 -2.3812e-01 -2.2731e+00 -7.1139e-01 -2.0700e+00 +9.4943e-01 -1.9914e+00 -7.8923e-01 -2.0536e+00 +3.8816e-01 -9.2837e-01 -9.6152e-01 -2.0289e+00 -7.3393e-01 +2.0006e+00 +7.3043e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.103432041e+02 +8.103432041e+02 +9.036432041e+02 +9.036432041e+02 -3.1385e-01 -2.0501e+00 -4.9047e+00 -4.5140e+00 -4.6527e+00 +4.6295e+00 -8.4455e-01 -2.6736e+00 -2.7570e+00 -9.4637e-01 -4.5378e+00 -4.9591e+00 +2.8431e+00 +2.8733e+00 -5.7724e-01 -4.2848e+00 +6.6835e-01 +3.1669e+00 -4.6219e-01 -4.1827e+00
13 +6.303116413e+02 +6.303116413e+02 +7.236116413e+02 +7.236116413e+02 +4.3347e+00 -5.7212e-02 +3.8447e-01 -1.6089e+00 +2.6652e+00 -1.7861e+00 +2.5756e+00 -2.0600e+00 +4.2113e+00 +2.4841e+00 +1.0754e+00 -2.3021e+00 +2.5801e+00 +1.4952e-01 +2.4278e+00 +4.7929e+00 +3.6078e+00 -1.3846e+00 +1.6419e+00 -2.4012e+00
127 +3.891287564e+02 +3.891287564e+02 +4.824287564e+02 +4.824287564e+02 +5.2322e-01 +2.9968e+00 +1.7522e-01 +5.3883e-01 +1.2490e+00 +6.7003e-01 -1.2021e+00 +0.0000e+00 +4.4703e-01 +2.9313e-01 -2.2291e+00 -4.2787e+00 -3.4456e-01 -2.9319e+00 +3.2144e+00 +1.8415e-01 +0.0000e+00 -1.5454e+00 +0.0000e+00 +3.7812e-01
568 +2.431956559e+02 +2.431956559e+02 +3.364956559e+02 +3.364956559e+02 -7.0888e-01 +1.7775e+00 +3.1244e+00 +1.7760e+00 +1.8832e+00 -1.8582e+00 -9.1098e-01 -1.5291e+00 +8.4182e-01 +1.1454e+00 +1.1147e+00 -1.5816e+00 -3.2526e+00 -1.1267e-01 +3.3291e+00 +1.4564e+00 +1.4978e+00 -6.4645e-01 +1.5469e+00 +6.6833e-01
3288 +1.566307129e+02 +1.566307129e+02 +2.499307129e+02 +2.499307129e+02 -8.1715e-01 +2.3658e+00 +9.2877e-01 +7.3055e-01 +1.4911e+00 -1.2586e+00 +5.2773e-01 -1.4725e+00 +2.0413e+00 +1.1574e+00 +3.2941e-01 -2.0476e+00 -1.0303e+00 -4.5843e-01 +1.4164e-01 +2.3911e-01 +6.7527e-01 +2.1338e-01 +1.4394e+00 +2.1989e+00
76024 +9.978101907e+01 +9.978101907e+01 +1.930810191e+02 +1.930810191e+02 -8.1416e-01 +7.2972e-01 +1.2112e+00 +5.9910e-01 +2.2322e+00 -1.2272e+00 +6.9649e-01 -1.6652e+00 +1.7552e+00 +1.2756e+00 +3.3590e-01 -4.2605e-01 -1.0414e+00 -3.3045e-01 +1.3524e-01 +4.4249e-01 +8.7020e-01 +2.8153e-01 +1.3573e+00 +1.7065e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.445374046e+02 +9.445374046e+02 +9.581774046e+02 +9.581774046e+02 +1.2377e+00 +4.5406e+00 +1.0542e+00 +3.8027e+00 -1.9826e+00 -1.8309e+00 +1.3601e+00 +4.8761e+00 -3.2722e+00 +3.3964e+00 +3.2498e+00 -3.0281e+00 -3.9857e+00 +3.8226e+00 +2.5488e+00 -1.1651e+00 +4.7084e+00 +2.8129e+00 -4.9030e+00 +3.0697e+00
4 +6.282307818e+02 +6.282307818e+02 +6.418707818e+02 +6.418707818e+02 -2.1137e+00 +1.5667e+00 -1.0750e+00 -4.5182e+00 +8.0137e-01 -1.0597e-01 -2.3411e+00 +1.4191e+00 +3.6968e+00 -9.7189e-01 +3.1762e+00 +3.5285e+00 -2.9110e+00 +2.1753e+00 +1.8909e-01 +1.9639e+00 +4.0516e-01 -3.3694e+00 -2.6680e+00 -2.5172e+00
166 +3.736718596e+02 +3.736718596e+02 +3.873118596e+02 +3.873118596e+02 -2.9129e+00 -3.0139e+00 -2.3893e-01 +1.5000e-01 +3.5185e+00 -5.0000e+00 -2.0061e+00 +1.5167e+00 -1.2864e+00 -2.3266e+00 -1.9004e+00 +3.5992e+00 -1.3795e+00 +0.0000e+00 +1.1242e+00 +0.0000e+00 -1.4785e+00 +0.0000e+00 +6.8182e-02 +2.8514e-01
604 +2.444967266e+02 +2.444967266e+02 +2.581367266e+02 +2.581367266e+02 -2.7290e-01 +1.3732e+00 +1.2667e+00 -2.2296e-01 +3.0583e+00 -1.6934e+00 -1.4970e+00 -1.9620e+00 -2.4679e+00 -2.9423e-01 -2.6015e+00 +1.4919e+00 +9.7376e-01 -2.2733e+00 +8.1521e-01 -7.4313e-01 -4.6529e-01 -2.4253e+00 +1.9376e-01 -3.6470e-01
21020 +1.559861172e+02 +1.559861172e+02 +1.696261172e+02 +1.696261172e+02 -1.0017e+00 +1.5783e+00 -8.9593e-01 +2.4999e+00 +2.3764e+00 -2.2240e+00 +3.2250e-01 -1.6892e+00 -3.0578e+00 -1.2684e+00 -2.3967e+00 +1.8901e+00 +8.4345e-01 +1.1556e-01 +1.9557e+00 -4.1490e-01 -1.9342e+00 -2.7831e-01 +1.0004e+00 +1.4448e+00
170411 +9.997693565e+01 +9.997693565e+01 +1.136169356e+02 +1.136169356e+02 -1.0051e+00 +1.6193e+00 -9.0253e-01 +2.5312e+00 +2.3834e+00 -2.2117e+00 +3.3234e-01 -1.6755e+00 -3.0157e+00 -1.2852e+00 -2.3986e+00 +1.9193e+00 +8.6805e-01 +1.0391e-01 +1.9904e+00 -4.0273e-01 -1.9588e+00 -2.6444e-01 +9.9845e-01 +1.4813e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.545620814e+02 +8.545620814e+02 +1.049362081e+03 +1.049362081e+03 -3.4612e+00 +4.8311e+00 -2.5145e+00 -3.7322e+00 +4.9021e+00 +7.4786e-01 -3.1921e+00 -1.1343e+00 -3.8702e+00 -2.2911e+00 +3.0190e+00 +4.3186e+00 +1.0970e+00 -3.5790e+00 +3.8428e+00 -1.6891e+00 +1.3496e+00 -3.7616e+00 -3.0235e+00 -4.4496e+00
25 +5.761692753e+02 +5.761692753e+02 +7.709692753e+02 +7.709692753e+02 +1.9241e+00 +4.1674e+00 +1.3904e+00 -1.2196e-01 +5.3234e-01 +3.6760e+00 -2.1966e+00 +2.6215e+00 -4.6696e+00 -3.7088e+00 -3.6770e+00 -1.6076e-01 -1.5656e+00 -8.2072e-01 -2.2153e+00 -7.3216e-01 -3.4717e+00 +1.0610e-01 -9.0192e-01 +3.5211e+00
144 +3.930248188e+02 +3.930248188e+02 +5.878248188e+02 +5.878248188e+02 -3.1556e-01 +4.3606e+00 -3.1847e-02 +0.0000e+00 -1.0416e+00 +4.4853e-01 +1.1777e+00 +0.0000e+00 +7.0676e-01 -2.2299e+00 -1.0666e+00 -9.9698e-01 +1.7274e+00 -3.8714e+00 -2.4520e+00 -3.0719e+00 -8.5275e-01 -2.6331e+00 +2.8866e+00 +0.0000e+00
661 +1.974521857e+02 +1.974521857e+02 +3.922521857e+02 +3.922521857e+02 -8.6796e-01 +1.4267e+00 +1.3467e+00 -1.2510e+00 +1.9736e-01 +2.1016e-01 +1.3979e+00 -3.6886e-01 +6.8141e-01 -7.6507e-02 +4.9916e-01 -5.0901e-01 +1.1297e+00 -2.9042e+00 -2.1091e+00 +5.5495e-01 -2.4206e+00 -1.9545e+00 +1.3038e+00 +1.1416e+00
6307 +1.554374094e+02 +1.554374094e+02 +3.502374094e+02 +3.502374094e+02 -1.2031e+00 +8.5931e-01 +8.0837e-01 -5.8570e-01 +4.1784e-02 -2.5796e+00 +1.6165e+00 +1.8873e-01 -1.3813e+00 -3.1341e-01 -2.3729e-01 +7.2549e-01 +1.7855e+00 -2.9755e+00 -2.1700e+00 +9.7999e-01 -2.0036e+00 -1.6747e+00 +2.3721e+00 +2.0752e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.874494879e+02 +6.874494879e+02 +5.538594879e+02 +5.538594879e+02 +2.4166e-01 -3.1889e+00 -3.8800e+00 +4.9230e+00 +3.2517e-01 +2.6150e+00 -1.4883e+00 +2.9020e+00 -2.1107e+00 -2.1516e+00 +3.2747e+00 -3.6250e+00 -2.4190e+00 -1.5357e+00 +3.2511e+00 +4.6700e+00 -3.3003e+00 -3.3004e+00 +8.9860e-02 +1.7961e+00
5 +5.475146412e+02 +5.475146412e+02 +4.139246412e+02 +4.139246412e+02 -3.3101e+00 +3.6775e+00 +3.6231e-01 +2.0309e+00 +6.1552e-01 -3.9508e+00 -3.3528e+00 +4.2884e+00 -3.0681e+00 +7.5120e-01 +1.8430e+00 -2.0813e+00 +2.8182e+00 -2.7623e+00 +2.4365e+00 -1.9728e+00 -1.5934e+00 -2.1508e+00 +1.0769e+00 +9.7905e-02
135 +3.602032424e+02 +3.602032424e+02 +2.266132424e+02 +2.266132424e+02 -5.5467e-01 +1.6238e+00 +6.8953e-01 +3.8005e+00 +1.7535e-01 -2.8669e+00 +1.2349e+00 -1.3498e-01 -2.3125e-01 -2.3477e-01 +3.6557e+00 -1.9068e+00 +2.6148e+00 +2.4657e+00 +1.0752e+00 -1.1791e+00 -1.0333e+00 -2.5016e+00 +0.0000e+00 -1.0473e+00
354 +2.458539885e+02 +2.458539885e+02 +1.122639885e+02 +1.122639885e+02 -7.3012e-01 -2.5532e+00 +7.9743e-01 +3.8330e+00 +1.3416e+00 -1.8744e+00 -1.7463e+00 +4.5606e-01 -4.5823e-01 -1.4916e-01 +1.9251e+00 -2.2557e+00 +1.3797e+00 +1.8344e+00 -9.9588e-01 +1.2470e+00 +7.9592e-01 +0.0000e+00 +1.2427e+00 +3.3277e-02
19234 +1.540977831e+02 +1.540977831e+02 +2.050778311e+01 +2.050778311e+01 -1.6629e+00 -1.6788e+00 -3.9732e-01 +2.2810e+00 +1.2846e+00 -4.0886e-01 -1.0818e+00 +4.3794e-01 -1.2058e+00 -1.8013e+00 +2.5199e+00 -2.0983e+00 +2.1416e+00 +2.8183e+00 -2.0977e+00 +2.4978e+00 -8.3680e-01 -9.4100e-01 -7.1814e-01 -1.1524e-01
% function evaluation | noise-free fitness - Fopt (1.543700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.430120557e+02 +8.430120557e+02 +9.973820557e+02 +9.973820557e+02 +3.2384e+00 +4.8628e+00 +2.0198e+00 +4.8336e+00 -3.7449e+00 +4.3090e+00 +3.2489e+00 +4.6966e+00 +2.4981e-01 -2.0337e-01 -1.0089e+00 +1.2138e+00 -6.9088e-01 +2.1124e+00 -3.0874e+00 -1.2340e+00 +1.6080e+00 -2.2178e+00 +4.6378e+00 -8.9842e-01
4 +5.974399721e+02 +5.974399721e+02 +7.518099721e+02 +7.518099721e+02 -2.9139e-01 -4.1553e+00 -3.8494e+00 -4.5185e-01 -2.7458e+00 +1.1976e+00 -3.4821e+00 +7.6621e-01 +4.4904e+00 +4.3761e-01 +1.1743e+00 -3.5936e+00 +4.6029e+00 -3.5872e+00 +1.5600e+00 +2.8700e+00 +8.3150e-01 +3.6435e-02 +1.5712e+00 -1.1623e+00
56 +3.840823891e+02 +3.840823891e+02 +5.384523891e+02 +5.384523891e+02 +2.5476e+00 -4.5496e+00 -4.7027e-01 +7.7840e-01 -1.1440e+00 +1.5329e+00 +2.7078e+00 +2.6911e+00 +2.4697e-01 -1.6259e+00 +3.2681e+00 -2.0341e-01 +8.3084e-01 -7.4432e-02 -1.2625e+00 +1.9125e+00 +1.9647e+00 +1.3127e+00 +3.1225e+00 +1.0145e+00
1807 +2.396754757e+02 +2.396754757e+02 +3.940454757e+02 +3.940454757e+02 -3.8028e+00 -1.4579e+00 +0.0000e+00 -2.5244e-01 -1.2671e+00 -1.0066e+00 +5.2835e-01 +2.7717e+00 +6.4044e-02 -9.7205e-01 +1.3833e-01 -2.8334e+00 -1.0735e+00 -1.3543e-01 -2.2811e+00 -1.4084e+00 -1.3055e+00 +1.0646e+00 +0.0000e+00 -9.1501e-01
8469 +1.525622480e+02 +1.525622480e+02 +3.069322480e+02 +3.069322480e+02 -1.3177e+00 -1.4402e+00 +7.5087e-01 +1.1634e+00 -8.5580e-01 -1.7545e+00 -9.3195e-01 +2.9774e+00 -1.2805e-01 -9.8905e-01 -8.7904e-01 -2.6790e+00 -9.6076e-01 -9.1427e-01 -1.6937e+00 -1.4416e+00 -1.2696e+00 +1.2720e+00 +2.0124e+00 -2.1040e+00
116023 +9.978789571e+01 +9.978789571e+01 +2.541578957e+02 +2.541578957e+02 -6.5843e-01 -1.4437e+00 +7.5928e-01 +1.1596e+00 -8.4387e-01 -1.7425e+00 -9.5293e-01 +2.9767e+00 -1.8407e-01 -9.8202e-01 -3.3620e-01 -2.8370e+00 -9.5071e-01 -9.0371e-01 -1.6901e+00 -1.1234e+00 -1.2501e+00 +8.6525e-01 +1.7927e+00 -2.1191e+00
% function evaluation | noise-free fitness - Fopt (-2.883300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
