% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.055916607e+07 +1.055916607e+07 +1.055895619e+07 +1.055895619e+07 -9.7017e-01 +2.4735e+00 -2.5641e+00 -3.8517e+00 -1.3446e+00
3 +3.869330295e+06 +3.869330295e+06 +3.869120415e+06 +3.869120415e+06 -3.9065e+00 -2.2799e+00 -4.0391e+00 +4.0801e+00 +3.7524e+00
7 +3.932597291e+05 +3.932597291e+05 +3.930498491e+05 +3.930498491e+05 -3.9599e+00 +3.1645e+00 +3.4954e+00 +4.9864e+00 +1.3971e+00
10 +2.386817178e+05 +2.386817178e+05 +2.384718378e+05 +2.384718378e+05 +1.2219e+00 +3.2440e+00 -4.2955e+00 +4.9983e-01 +1.5348e+00
20 +9.916150449e+04 +9.916150449e+04 +9.895162449e+04 +9.895162449e+04 -3.5065e-01 -3.8284e+00 -2.3491e+00 +1.7118e+00 +1.5509e+00
139 +4.457920703e+04 +4.457920703e+04 +4.436932703e+04 +4.436932703e+04 +6.9930e-01 -3.7235e+00 -3.4138e+00 +2.5429e+00 +1.7987e+00
192 +3.279344277e+04 +3.279344277e+04 +3.258356277e+04 +3.258356277e+04 -5.0000e+00 -1.5266e+00 -1.8180e+00 +2.5325e+00 +1.7071e+00
259 +4.075403269e+03 +4.075403269e+03 +3.865523269e+03 +3.865523269e+03 -1.7966e-01 -3.9574e+00 +3.2787e+00 +2.3500e+00 +1.8383e+00
335 +3.061969579e+03 +3.061969579e+03 +2.852089579e+03 +2.852089579e+03 -2.6197e+00 -3.1882e+00 +2.4851e+00 +2.2431e+00 +1.7594e+00
519 +2.277089736e+03 +2.277089736e+03 +2.067209736e+03 +2.067209736e+03 -2.9772e+00 -2.7470e+00 +2.4829e+00 +2.2652e+00 +1.8014e+00
911 +4.750147568e+02 +4.750147568e+02 +2.651347568e+02 +2.651347568e+02 -2.6427e+00 -2.5077e+00 +3.1365e+00 +2.3932e+00 +1.7823e+00
1549 +3.524612909e+02 +3.524612909e+02 +1.425812909e+02 +1.425812909e+02 -2.7998e+00 -2.4578e+00 +3.5389e+00 +2.3971e+00 +1.7760e+00
2111 +2.372128872e+02 +2.372128872e+02 +2.733288717e+01 +2.733288717e+01 -2.6609e+00 -1.9835e+00 +3.3961e+00 +2.3827e+00 +1.7818e+00
2260 +1.578627878e+02 +1.578627878e+02 -5.201721221e+01 -5.201721221e+01 -3.6571e+00 -1.0551e+00 +3.6065e+00 +2.4261e+00 +1.7872e+00
2446 +6.386425425e+01 +6.386425425e+01 -1.460157457e+02 -1.460157457e+02 -3.3490e+00 -4.8255e-01 +3.6443e+00 +2.3895e+00 +1.7888e+00
2525 +6.186262888e+01 +6.186262888e+01 -1.480173711e+02 -1.480173711e+02 -2.8742e+00 -5.2238e-01 +3.5431e+00 +2.4058e+00 +1.7876e+00
2580 +3.159270530e+01 +3.159270530e+01 -1.782872947e+02 -1.782872947e+02 -3.5408e+00 +7.4818e-02 +3.6170e+00 +2.3927e+00 +1.7858e+00
2609 +2.238649918e+01 +2.238649918e+01 -1.874935008e+02 -1.874935008e+02 +1.8264e+00 +5.3888e-01 +3.6478e+00 +2.3976e+00 +1.7887e+00
2730 +1.027168573e+01 +1.027168573e+01 -1.996083143e+02 -1.996083143e+02 -9.4875e-01 +3.9240e-01 +3.6152e+00 +2.3880e+00 +1.7871e+00
