% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.332571738e+01 +1.332571738e+01 +2.019571738e+01 +2.019571738e+01 +2.3706e+00 +1.6566e+00 +2.2616e+00 +3.8084e+00 +2.1744e+00 -9.1698e-01 +2.9887e+00 +7.2011e-01 +3.9258e+00 +1.7177e+00 -7.6556e-01 -2.6052e+00 -3.7989e+00 -1.9220e+00 -2.6093e+00 +2.6213e+00 -2.3300e+00 -1.1063e+00 -1.3744e+00 -1.2648e-01
5 +7.977350276e+00 +7.977350276e+00 +1.484735028e+01 +1.484735028e+01 +2.3707e+00 +1.0209e+00 +4.4516e+00 +6.0386e-02 +3.0307e+00 +8.7430e-01 +4.4507e+00 +1.8758e+00 +4.0064e+00 +3.0719e+00 +3.7224e-01 -3.1165e+00 -4.5538e+00 -2.5138e+00 -5.5596e+00 +2.1533e+00 -2.0931e+00 -4.7663e-01 +1.5126e+00 -8.2843e-01
233 +5.999002113e+00 +5.999002113e+00 +1.286900211e+01 +1.286900211e+01 +3.0192e+00 -3.0169e-01 -8.7655e-01 -3.7963e-01 +4.6513e+00 +1.3389e+00 +3.7645e+00 +4.8240e+00 +1.4932e+00 +4.5348e+00 -2.5384e+00 -1.5422e+00 -5.3739e+00 +1.6312e+00 -1.5903e+00 -1.9011e+00 -3.1364e+00 -2.1984e+00 +4.1301e+00 +3.6812e+00
1402 +3.707576295e+00 +3.707576295e+00 +1.057757629e+01 +1.057757629e+01 +1.7397e+00 -1.6346e+00 +2.6451e+00 -8.6242e-01 +9.7161e-01 +3.4326e+00 +1.3088e+00 +7.6026e-01 +3.9846e+00 -7.9441e-02 +1.0200e+00 -1.1134e+00 -2.5202e+00 -2.4858e+00 -1.0013e+00 +3.3264e+00 -3.5530e+00 -3.7192e+00 +4.8498e+00 -3.2861e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.191518973e+01 +1.191518973e+01 +1.192518973e+01 +1.192518973e+01 -5.6066e-01 -3.4110e+00 +3.4123e+00 -9.3697e-01 -3.7886e+00 +3.3177e-02 +2.1547e+00 -3.7299e+00 +6.9908e-01 +2.8226e+00 -2.6976e+00 -7.6517e-02 +3.3437e+00 +2.3090e+00 +1.5709e-01 -3.6702e+00 +3.3854e+00 +1.1684e+00 -1.0514e+00 -2.4466e-01
39 +9.229703678e+00 +9.229703678e+00 +9.239703678e+00 +9.239703678e+00 +2.8298e+00 -2.1400e+00 +5.4404e+00 +2.9176e+00 -2.9175e+00 -1.0436e+00 +2.0990e+00 -3.7934e+00 -9.1814e-01 +9.6862e-01 -2.2617e+00 +9.5982e-03 +4.4702e+00 +9.6058e-01 +8.6096e-02 -6.8249e+00 +4.4909e+00 +3.4465e+00 -2.4181e+00 +7.1182e-01
179 +6.256321534e+00 +6.256321534e+00 +6.266321534e+00 +6.266321534e+00 +3.5574e+00 -2.4570e+00 +2.1783e+00 +1.0457e+00 -4.4283e+00 -1.5577e+00 -5.6608e-01 -5.0689e+00 -2.8834e+00 +1.6653e+00 -1.9781e+00 -2.7051e+00 +3.2361e+00 +1.6332e+00 -1.1462e+00 -2.7859e+00 +2.3666e+00 +2.1484e+00 -4.9169e+00 +1.6748e-01
1200 +3.479777045e+00 +3.479777045e+00 +3.489777045e+00 +3.489777045e+00 +4.1022e+00 -3.6712e+00 +1.8276e+00 +5.2503e+00 -4.7101e+00 -2.6399e+00 +2.0282e-01 -4.9306e+00 -1.4565e+00 +3.6775e-01 -1.6197e+00 +2.1629e+00 +1.3885e+00 +1.8761e+00 +4.9265e+00 -1.7647e+00 +3.6880e+00 +4.0280e+00 -4.7031e+00 +3.6823e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
