% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.686651639e+02 +2.686651639e+02 +3.481451639e+02 +3.481451639e+02 +2.4606e+00 -4.2417e+00 -3.4837e+00 -1.6845e-01 -3.5351e+00 +4.9605e-01 -2.4441e+00 +4.5819e+00 +2.4840e-01 +4.6328e+00 -4.0282e+00 -2.1489e+00 -7.9158e-01 +1.8757e+00 -2.6904e+00 +4.1865e+00 +1.7306e+00 +4.8291e+00 +1.9277e+00 +3.9547e+00
2 +2.416258425e+02 +2.416258425e+02 +3.211058425e+02 +3.211058425e+02 -1.2279e-01 -1.2851e-01 -1.5588e+00 +1.6189e+00 -4.8610e+00 +3.5525e-01 +4.8123e+00 -1.5619e+00 +3.2906e+00 -6.6610e-01 -2.7670e+00 -2.4097e+00 +2.8208e+00 -4.2915e+00 +1.7684e+00 -3.1595e+00 -4.3340e+00 +2.2966e+00 -3.9190e+00 +1.5667e+00
3 +1.554686142e+02 +1.554686142e+02 +2.349486142e+02 +2.349486142e+02 -3.1952e+00 -9.9927e-01 -3.1022e+00 +1.8343e+00 +3.4996e+00 -2.5359e-01 -2.8810e+00 +4.2360e+00 +2.1627e+00 -2.7428e+00 -1.0799e+00 +3.6807e+00 -5.7084e-01 +2.8667e+00 +2.5233e+00 +1.5009e+00 -4.3373e-01 -1.9010e+00 +2.5916e+00 -4.1788e+00
1040 +9.176283216e+01 +9.176283216e+01 +1.712428322e+02 +1.712428322e+02 +3.6061e+00 -2.4894e+00 +3.3812e-01 -1.5898e+00 +6.1390e-02 +1.6826e+00 -1.2140e+00 -1.0830e+00 +9.1009e-01 -4.8444e+00 -2.7261e+00 -4.3417e-02 +2.1947e+00 +1.4358e-01 +1.0644e+00 +1.8952e+00 -2.1532e+00 +4.0201e-01 -1.2798e-01 +8.3866e-01
1502 +4.733435777e+01 +4.733435777e+01 +1.268143578e+02 +1.268143578e+02 -1.5411e+00 -2.5630e+00 -7.9724e-01 +8.1307e-01 -2.9759e+00 +3.1886e+00 -8.0794e-01 -5.0306e-01 +2.1280e-01 -5.3760e+00 -5.6584e+00 +2.8050e+00 -6.5797e-01 -1.2667e+00 +2.9653e+00 +5.0049e+00 +1.4889e+00 -2.0799e+00 +1.3645e+00 -4.7560e-01
2104 +3.779608821e+01 +3.779608821e+01 +1.172760882e+02 +1.172760882e+02 -1.5835e+00 -7.9224e-01 -6.3598e-01 +2.7486e-01 -7.1387e-01 -2.3161e+00 +9.9078e-02 +1.4354e+00 -2.4382e+00 -4.4739e+00 -4.6383e+00 +1.8345e+00 +1.5820e+00 +1.0369e+00 +4.9190e+00 +5.1228e+00 +1.5806e+00 -3.2745e+00 +2.5632e+00 -5.3959e-01
2801 +2.242392545e+01 +2.242392545e+01 +1.019039254e+02 +1.019039254e+02 +5.3109e-01 -1.4619e+00 -1.8704e-01 +1.7607e+00 -1.3909e+00 +7.6513e-01 +5.1170e-01 -5.0173e-01 -1.7864e+00 -4.2008e+00 -1.2616e+00 +1.2228e-01 +1.1409e+00 -9.7513e-01 +2.4418e+00 +1.5423e+00 -1.2913e+00 -5.0103e+00 +1.8868e+00 +2.2893e+00
3155 +1.469454533e+01 +1.469454533e+01 +9.417454533e+01 +9.417454533e+01 +6.2847e-01 -4.7505e-01 -1.0566e+00 +1.2018e+00 -3.1058e+00 -3.7111e-01 +5.2226e-01 +1.4766e+00 -2.6710e+00 -3.2163e+00 -5.4018e+00 +3.1056e+00 +1.7911e+00 -8.5469e-01 +2.7643e+00 +3.5042e+00 +1.5466e+00 -3.6025e+00 +2.3367e+00 +6.0552e-01
5196 +6.609219464e+00 +6.609219464e+00 +8.608921946e+01 +8.608921946e+01 -2.8779e-01 -1.0261e+00 -9.6414e-01 +1.6459e+00 -2.3221e+00 -1.1203e+00 +1.8716e-01 -1.8836e-02 -2.0337e+00 -2.7601e+00 -4.1907e+00 +1.2876e+00 +1.9388e+00 -4.7694e-01 +4.3449e+00 +3.2185e+00 -4.0151e-01 -3.9161e+00 +2.9162e+00 +2.2303e+00
5601 +5.916621170e+00 +5.916621170e+00 +8.539662117e+01 +8.539662117e+01 -2.8779e-01 -1.0261e+00 -9.6414e-01 +1.5912e+00 -2.3221e+00 -3.8360e-01 +2.5470e-01 -1.8836e-02 -2.2210e+00 -2.7601e+00 -4.1907e+00 +1.2876e+00 +1.5779e+00 -4.7694e-01 +4.3387e+00 +2.9110e+00 -1.1412e+00 -4.5859e+00 +2.9162e+00 +2.2303e+00
6209 +3.559969005e+00 +3.559969005e+00 +8.303996900e+01 +8.303996900e+01 +3.0717e-01 -9.1533e-01 -1.0566e+00 +1.5895e+00 -2.5078e+00 +7.3363e-02 +2.6522e-01 +5.4092e-01 -2.0012e+00 -2.5668e+00 -4.4650e+00 +3.1056e+00 +1.4719e+00 -1.6381e-01 +3.4128e+00 +2.2814e+00 +1.6512e-01 -3.7249e+00 +2.6472e+00 +1.1342e+00
6970 +1.910395997e+00 +1.910395997e+00 +8.139039600e+01 +8.139039600e+01 -1.3601e-01 -7.7422e-01 -1.0006e+00 +2.1228e+00 -2.5977e+00 +2.5101e-01 +2.1351e-03 -2.9033e-01 -1.4767e+00 -3.4634e+00 -3.2704e+00 +2.0686e+00 +1.2635e+00 +7.1914e-02 +3.4787e+00 +3.0965e+00 -4.0588e-01 -3.7729e+00 +2.4510e+00 +6.4903e-01
8202 +1.452543016e+00 +1.452543016e+00 +8.093254302e+01 +8.093254302e+01 +2.7166e-01 -1.2473e+00 -1.0214e+00 +1.5895e+00 -2.5078e+00 +6.3252e-01 -4.0817e-01 +5.4092e-01 -1.7502e+00 -3.1821e+00 -3.8613e+00 +2.4266e+00 +1.4719e+00 -9.7342e-02 +3.6441e+00 +2.9865e+00 +1.6512e-01 -3.7249e+00 +1.7038e+00 +1.3379e+00
