% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.094938687e+01 +1.094938687e+01 +1.781938687e+01 +1.781938687e+01 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00 -4.8514e+00 +3.2803e+00 +3.9520e+00 +2.7209e+00 +1.0153e-01 +4.4251e+00 -3.0100e+00 -4.3172e+00 -4.7281e+00 -2.3679e+00
2 +9.676041521e+00 +9.676041521e+00 +1.654604152e+01 +1.654604152e+01 -2.6886e+00 +1.8222e+00 -7.6504e-01 -4.5610e+00 -1.5995e+00 -4.9012e+00 +4.8513e-01 +9.6247e-01 -1.0587e+00 +2.5534e+00 -2.1181e+00 +4.1756e+00 +4.4239e+00 -1.2018e+00 +2.1396e+00 +2.7015e+00 +1.7427e+00 -3.7477e+00 +2.9367e+00 +2.1379e+00
14 +4.253178031e+00 +4.253178031e+00 +1.112317803e+01 +1.112317803e+01 +2.3821e+00 +1.4491e+00 +1.8085e+00 -3.0993e+00 +3.7286e+00 +1.3179e+00 -4.1612e+00 -4.0780e+00 +2.0847e+00 +3.5112e+00 -2.8594e+00 -2.2784e+00 +1.2641e+00 -9.2243e-01 +6.1579e-01 -3.9452e+00 -2.0011e+00 +4.4343e+00 -1.0890e+00 +1.4157e+00
689 +3.807854349e+00 +3.807854349e+00 +1.067785435e+01 +1.067785435e+01 +1.4115e+00 +1.9405e+00 +1.5636e+00 -4.2276e+00 +3.7823e+00 +1.1282e+00 -4.1008e+00 -4.4651e+00 +1.4100e+00 +4.3645e+00 -2.3489e+00 -2.2412e+00 +8.0033e-01 -1.0676e+00 +8.9241e-02 -3.8530e+00 -2.0811e+00 +4.5510e+00 +2.7668e-01 +3.4691e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.226108600e+01 +2.226108600e+01 +2.227108600e+01 +2.227108600e+01 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00 -4.8514e+00 +3.2803e+00 +3.9520e+00 +2.7209e+00 +1.0153e-01 +4.4251e+00 -3.0100e+00 -4.3172e+00 -4.7281e+00 -2.3679e+00
4 +1.033945071e+01 +1.033945071e+01 +1.034945071e+01 +1.034945071e+01 -1.4018e-01 +4.1674e-01 -1.6605e+00 -1.8731e+00 -1.3492e+00 +2.5367e+00 +9.7345e-01 -2.1806e-01 +2.2198e+00 -2.1385e+00 +4.8548e+00 +3.1213e+00 -6.2636e-01 -1.6940e-01 +1.0587e+00 +3.6626e+00 -1.5618e+00 +4.1142e+00 -3.8976e+00 +1.3712e+00
7 +8.695273605e+00 +8.695273605e+00 +8.705273605e+00 +8.705273605e+00 -4.3532e-01 -1.2163e+00 +7.9807e-01 +1.8312e+00 -3.8025e+00 +3.4472e+00 +2.0086e+00 +3.2947e+00 -5.6710e-01 -3.6902e+00 +1.2114e+00 -3.7788e+00 -3.6414e+00 -4.9797e+00 -1.8225e+00 +1.2909e+00 -4.9663e+00 -2.3102e+00 -1.8997e+00 +3.0210e+00
24 +3.686160247e+00 +3.686160247e+00 +3.696160247e+00 +3.696160247e+00 -4.9014e+00 +6.8072e-01 -4.8499e+00 -1.4675e+00 +3.9032e+00 -8.6371e-01 -4.2794e+00 +2.6944e+00 +2.0757e-01 -3.7808e+00 +1.7735e+00 +3.6204e+00 -3.8348e+00 -8.9096e-01 +2.7268e+00 +1.5352e+00 -4.5710e+00 +1.1330e+00 +3.7136e+00 +2.2501e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
