% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.636826918e+03 +3.636826918e+03 +3.729766918e+03 +3.729766918e+03 -4.2875e+00 -1.6274e+00 -2.9326e+00 +3.4370e+00 +3.3367e+00 +4.7280e+00 -5.2115e-01 +4.9855e+00 -4.9319e+00 -4.6471e-01 -3.2960e+00 +1.6738e+00 -1.9129e+00 -4.3409e+00 -4.1615e+00 +4.8757e+00 -2.8046e+00 +1.3449e+00 -1.6792e+00 +4.9680e+00
5 +2.062317270e+03 +2.062317270e+03 +2.155257270e+03 +2.155257270e+03 -4.7687e+00 +1.4451e+00 +1.2170e+00 +1.9202e+00 +1.7634e+00 +3.1061e-01 -1.4051e-01 -1.3657e+00 +4.8272e+00 -1.6532e+00 +1.1708e+00 +3.0357e+00 -1.6225e+00 -7.6921e-01 +2.0316e+00 -4.3157e+00 +1.0966e+00 -4.3725e+00 -1.5766e+00 -5.3013e-01
10 +1.127619919e+03 +1.127619919e+03 +1.220559919e+03 +1.220559919e+03 +5.3446e-01 +3.8064e+00 -3.3992e+00 +4.4028e+00 +2.4014e+00 +4.7434e+00 +3.9196e+00 -1.4766e+00 -3.5976e+00 -1.1903e+00 -9.8112e-01 -7.3917e-01 +1.2282e+00 -2.1874e+00 +4.5637e-01 -5.0409e-01 +9.4492e-01 +4.3419e+00 +4.5661e+00 -4.3686e+00
82 +7.402823687e+02 +7.402823687e+02 +8.332223687e+02 +8.332223687e+02 +3.1438e+00 +4.5870e+00 +4.9675e+00 +2.6140e+00 +3.8036e+00 +3.9631e+00 +4.2711e+00 +2.8854e+00 +3.8473e-01 +3.7435e+00 -4.9262e+00 +6.0550e-03 -9.8327e-01 -9.7411e-01 -2.8999e+00 -1.5670e+00 -1.8503e-02 -1.1463e+00 -2.4767e+00 -2.6208e+00
170 +5.004686022e+02 +5.004686022e+02 +5.934086022e+02 +5.934086022e+02 -9.8902e-01 -5.4654e-02 -2.6474e+00 +1.4706e+00 +2.9569e+00 +4.6055e+00 +4.3313e+00 -1.3815e+00 +4.3819e+00 +3.1532e+00 +1.9049e+00 -2.0008e+00 +7.0767e-01 -1.7712e+00 +4.6366e+00 -6.4237e-01 +4.1315e-01 -3.1831e+00 -3.7715e+00 -3.9491e+00
1489 +3.576342808e+02 +3.576342808e+02 +4.505742808e+02 +4.505742808e+02 +2.4740e+00 +2.3413e-01 -1.3814e+00 +1.7009e+00 +1.8896e+00 +2.4258e+00 +1.9532e+00 -4.6361e+00 +4.4180e-01 +3.9027e+00 +2.0652e+00 -4.8927e+00 +3.3334e-01 +1.4384e+00 -4.9628e-01 +2.8310e+00 +4.1211e+00 -1.2203e+00 +2.0120e+00 -2.8232e+00
2802 +1.861878576e+02 +1.861878576e+02 +2.791278576e+02 +2.791278576e+02 -2.4282e-01 -1.0207e+00 +9.1356e-01 +2.0950e+00 +5.0000e+00 +4.9830e+00 +3.0556e+00 -2.3905e+00 +2.4056e+00 +3.5243e+00 +3.0028e+00 -3.4405e+00 -1.0170e+00 +3.0918e+00 +8.8275e-01 +5.0000e+00 +1.6863e+00 -4.0086e+00 +2.0487e+00 -7.8849e-01
6013 +1.087313484e+02 +1.087313484e+02 +2.016713484e+02 +2.016713484e+02 +0.0000e+00 -1.5341e+00 -1.9353e-01 +5.0000e+00 +4.4230e+00 +4.1493e+00 +0.0000e+00 -1.8097e+00 +5.0000e+00 +3.6971e+00 -5.4373e-01 -1.5321e+00 +3.4273e-01 +3.2647e+00 +8.0589e-01 +0.0000e+00 +3.2488e+00 -3.6987e+00 +3.5138e+00 +3.9805e+00
8711 +9.828832856e+01 +9.828832856e+01 +1.912283286e+02 +1.912283286e+02 +1.6022e-01 -7.9165e-01 +1.5654e+00 +2.1739e+00 +3.9569e+00 +4.5377e+00 +5.3730e-01 -2.0716e+00 +5.0000e+00 +3.6615e+00 -3.1720e-01 -1.3691e+00 -6.0990e-02 +2.7387e+00 +3.1930e+00 -5.1554e-02 +4.1907e+00 -3.4328e+00 +4.5681e+00 -6.6054e-01
13590 +6.024160409e+01 +6.024160409e+01 +1.531816041e+02 +1.531816041e+02 +3.2653e-01 +3.8480e-01 +1.5835e+00 +3.4438e+00 +4.1169e+00 +4.8278e+00 +9.2955e-01 -5.5785e-01 +4.4007e+00 +3.2043e+00 +3.3698e-01 -3.7750e+00 +7.6768e-01 +1.9641e+00 +1.2934e+00 +1.0570e+00 +1.8942e+00 -2.8412e+00 +2.2174e+00 +2.7122e+00
