% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.069956427e+07 +1.069956427e+07 +1.069950933e+07 +1.069950933e+07 +4.1985e+00 +8.4811e-01 -2.4615e+00 -2.3443e+00 -4.3202e+00 +1.8228e+00 -1.2983e+00 +9.6305e-01 +2.3025e+00 -2.2601e+00 -9.1188e-01 -4.7022e+00 +3.3396e+00 -4.1925e+00 -4.9332e+00 +1.0312e+00 +9.1074e-01 +1.8376e+00 -1.7748e+00 -9.9664e-01
4 +6.574161139e+06 +6.574161139e+06 +6.574106199e+06 +6.574106199e+06 +1.0461e+00 +7.5672e-01 +2.1730e+00 -5.7597e-01 -2.5788e+00 +3.4934e+00 -1.3567e+00 +2.1080e+00 -4.9358e+00 -5.0646e-01 -1.8203e-01 -3.1058e+00 +8.2481e-01 -2.1256e+00 -1.1897e+00 -3.9629e-02 +2.6618e+00 -3.5441e+00 -9.1879e-02 +4.1800e+00
11 +7.650806863e+05 +7.650806863e+05 +7.650257463e+05 +7.650257463e+05 -1.4068e+00 -8.0901e-01 +1.1167e+00 +2.1499e-01 -9.1483e-01 +1.1848e+00 -1.2955e-01 +1.1251e+00 -2.1953e+00 +1.9023e+00 +5.1892e-01 +4.3129e-01 -3.6965e+00 -4.4527e+00 -4.9352e+00 +1.4441e+00 +4.0153e+00 +3.8599e-01 -2.7838e+00 +4.1090e+00
147 +4.630410709e+05 +4.630410709e+05 +4.629861309e+05 +4.629861309e+05 -2.5541e+00 -6.7237e-01 +6.2979e-01 +5.2009e-02 -1.1662e+00 +3.3844e+00 -1.9640e+00 +2.0126e+00 -3.7509e-01 +2.4247e+00 +1.9841e+00 -1.3841e+00 -5.0000e+00 -5.0000e+00 -4.0597e+00 -1.4723e+00 +5.0000e+00 +4.2219e-01 -3.2040e+00 +4.0833e+00
204 +3.217833987e+05 +3.217833987e+05 +3.217284587e+05 +3.217284587e+05 -3.3178e+00 -1.3853e+00 +1.3391e-01 +1.2176e+00 -6.1621e-01 +4.0377e+00 -2.0836e+00 +2.0048e+00 +3.9629e-01 +1.7864e+00 +2.0094e+00 -1.5219e+00 -4.3420e+00 -4.9526e+00 -3.6150e+00 -1.4054e+00 +5.0000e+00 +4.1661e-01 -3.8907e+00 +4.7023e+00
499 +1.640396718e+05 +1.640396718e+05 +1.639847318e+05 +1.639847318e+05 -1.9051e+00 -6.3155e-01 -3.8734e-01 +2.6521e+00 -1.0617e+00 +3.4203e+00 -1.0218e+00 +1.9168e+00 -1.8697e+00 +3.1892e+00 +1.8083e+00 -3.9224e-01 -4.6078e+00 -4.7001e+00 -3.5999e+00 -6.6136e-01 +5.0000e+00 +6.2028e-01 -3.5174e+00 +3.9462e+00
1507 +1.394929519e+05 +1.394929519e+05 +1.394380119e+05 +1.394380119e+05 -1.7492e+00 -9.2934e-01 -9.0447e-01 +2.6883e+00 -1.5618e+00 +2.1754e+00 -7.4688e-01 +1.8523e+00 -2.2237e+00 +2.8446e+00 +2.0880e+00 -4.6054e-01 -4.8875e+00 -4.7075e+00 -3.1122e+00 -6.4855e-01 +5.0000e+00 +5.8379e-01 -3.2788e+00 +4.2563e+00
4150 +9.178109187e+04 +9.178109187e+04 +9.172615187e+04 +9.172615187e+04 -1.3594e+00 -1.2333e+00 -4.8785e-01 +2.2950e+00 -1.5826e+00 +2.3480e+00 -1.4600e+00 +1.0465e+00 -3.0635e+00 +4.3881e+00 +3.0352e+00 -3.6480e-01 -4.7213e+00 -4.1498e+00 -2.4678e+00 -5.4767e-01 +5.0000e+00 +2.6133e-01 -3.6249e+00 +4.5589e+00
6843 +6.267663655e+04 +6.267663655e+04 +6.262169655e+04 +6.262169655e+04 -8.5747e-01 -1.4109e+00 -1.1026e+00 +2.3298e+00 -1.6445e+00 +1.9823e+00 -1.8527e+00 +4.7119e-01 -3.1214e+00 +4.6025e+00 +3.1382e+00 -7.3511e-01 -4.6552e+00 -4.0799e+00 -2.6686e+00 -2.1202e-01 +5.0000e+00 +2.1607e-01 -3.2198e+00 +4.6933e+00
12060 +3.965772197e+04 +3.965772197e+04 +3.960278197e+04 +3.960278197e+04 -7.9190e-01 -1.4426e+00 -1.1346e+00 +2.6353e+00 -1.5145e+00 +2.0358e+00 -1.8373e+00 +3.3537e-01 -3.2908e+00 +4.6518e+00 +3.9226e+00 -9.8493e-01 -4.0227e+00 -4.4219e+00 -1.9633e+00 +1.6675e+00 +5.0000e+00 +1.9674e-01 -3.0849e+00 +4.3894e+00
15896 +2.497897411e+04 +2.497897411e+04 +2.492403411e+04 +2.492403411e+04 -8.3115e-01 -1.3473e+00 -1.0687e+00 +2.7348e+00 -1.0021e+00 +2.1591e+00 -1.9450e+00 +7.4799e-01 -3.5943e+00 +4.8868e+00 +3.9845e+00 -1.1329e+00 -3.0374e+00 -4.8865e+00 -3.6388e-01 +3.0303e+00 +5.0000e+00 +1.8117e-01 -2.2400e+00 +4.4214e+00
17745 +1.387662633e+04 +1.387662633e+04 +1.382168633e+04 +1.382168633e+04 -9.4534e-01 -1.2018e+00 -1.0509e+00 +2.9149e+00 -1.0442e+00 +2.0279e+00 -1.9848e+00 +5.1646e-01 -3.8775e+00 +4.8453e+00 +4.0132e+00 -1.2823e+00 -2.4825e+00 -4.9229e+00 +1.8656e-02 +3.0320e+00 +5.0000e+00 +1.2520e-01 -1.0898e+00 +4.4454e+00
20046 +9.214797290e+03 +9.214797290e+03 +9.159857290e+03 +9.159857290e+03 -9.9675e-01 -1.0511e+00 -1.0993e+00 +3.0913e+00 -1.2415e+00 +2.7747e+00 -2.0197e+00 +5.8874e-01 -3.6360e+00 +4.9685e+00 +4.0923e+00 -1.0018e+00 -2.1347e+00 -4.9504e+00 +4.5143e-02 +2.6270e+00 +5.0000e+00 +1.1427e-01 -1.6552e+00 +4.4134e+00
25705 +6.307867422e+03 +6.307867422e+03 +6.252927422e+03 +6.252927422e+03 -1.0111e+00 -9.5793e-01 -1.0647e+00 +3.0893e+00 -1.1389e+00 +2.8774e+00 -1.9981e+00 +5.9978e-01 -3.6933e+00 +4.9939e+00 +4.2507e+00 -9.2355e-01 -1.8163e+00 -4.9909e+00 +2.9204e-01 +2.9903e+00 +5.0000e+00 +1.1710e-01 -1.3384e+00 +4.1809e+00
51524 +3.973883040e+03 +3.973883040e+03 +3.918943040e+03 +3.918943040e+03 -9.9210e-01 -8.6607e-01 -8.8983e-01 +2.9911e+00 -8.2611e-01 +3.2311e+00 -2.1476e+00 +5.9537e-01 -3.7488e+00 +4.9999e+00 +4.2064e+00 -9.6245e-01 -1.3913e+00 -4.9084e+00 +4.3002e-01 +3.5253e+00 +5.0000e+00 +2.1068e-01 -7.1933e-01 +4.1706e+00
112354 +2.511221690e+03 +2.511221690e+03 +2.456281690e+03 +2.456281690e+03 -9.8135e-01 -8.7679e-01 -8.8177e-01 +2.8678e+00 -5.1456e-01 +3.4250e+00 -2.3227e+00 +5.6034e-01 -3.7863e+00 +5.0000e+00 +4.0884e+00 -8.4322e-01 -1.1132e+00 -4.3181e+00 +5.1668e-01 +3.9285e+00 +5.0000e+00 +4.0903e-01 -2.1661e-01 +3.8615e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
