% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.387423396e+01 +8.387423396e+01 +1.246542340e+02 +1.246542340e+02 -3.4372e+00 -2.3606e-01 +4.4996e-01 -1.7576e+00 +9.3897e-01 -2.5643e+00 +1.5716e-01 -9.9437e-01 -8.6551e-02 -3.6874e+00 +4.4631e+00 +4.2092e-01 -1.0968e+00 -2.2184e+00 +2.3919e+00 -3.1496e+00 +2.9453e+00 +3.5940e+00 -4.8317e+00 +2.6493e+00
2510 +6.282438605e+01 +6.282438605e+01 +1.036043860e+02 +1.036043860e+02 -5.0000e+00 -4.6227e-01 -2.1700e+00 -2.3813e-01 -2.3508e+00 +7.8817e-02 -5.0000e+00 +4.7230e+00 -7.0151e-01 -3.1398e+00 -4.3928e-01 -5.0000e+00 -1.1426e-01 -1.7878e+00 +1.1622e-01 -3.0432e+00 -4.6888e+00 +5.0000e+00 -5.0000e+00 -1.2266e+00
7916 +3.428572294e+01 +3.428572294e+01 +7.506572294e+01 +7.506572294e+01 -4.5522e+00 -1.3593e+00 -3.0086e+00 -2.6869e+00 +1.8047e+00 +1.3491e+00 -3.8778e+00 +3.0920e+00 -1.9801e+00 -1.3616e+00 -4.8444e-01 -4.6149e+00 -2.6308e+00 -1.9501e+00 +1.8010e-02 -3.4061e+00 -4.0481e+00 +3.0889e+00 -5.0000e+00 -9.8963e-01
12217 +2.132965743e+01 +2.132965743e+01 +6.210965743e+01 +6.210965743e+01 -2.8632e+00 -2.5792e+00 -3.5314e+00 -1.9686e+00 -1.1702e+00 +1.3602e+00 -4.2414e+00 +5.0000e+00 -4.1638e+00 +5.5757e-01 -1.1869e+00 -5.0000e+00 -1.5286e-01 -1.4422e+00 +3.6243e-01 -3.5267e+00 -4.8543e+00 +2.7821e+00 -4.6091e+00 -1.1180e+00
20741 +1.507445336e+01 +1.507445336e+01 +5.585445336e+01 +5.585445336e+01 -4.2062e+00 -1.8580e+00 -2.7354e+00 -1.7323e+00 -4.2342e-01 +1.6920e+00 -3.7454e+00 +3.7582e+00 -3.7164e+00 +1.8010e-01 -2.4220e+00 -5.0000e+00 -1.8676e+00 -2.8976e+00 +1.0544e+00 -2.8582e+00 -4.2906e+00 +1.8228e+00 -4.5673e+00 -6.6957e-01
63424 +9.997553817e+00 +9.997553817e+00 +5.077755382e+01 +5.077755382e+01 -4.6819e+00 -2.2702e+00 -2.5467e+00 -2.4302e+00 -6.4726e-01 +6.6473e-01 -3.4957e+00 +3.8868e+00 -3.6116e+00 +7.6902e-02 -1.6794e+00 -4.9218e+00 -8.7229e-01 -2.2226e+00 +7.1407e-01 -2.7678e+00 -4.1401e+00 +2.2657e+00 -5.0000e+00 -1.1535e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.625961757e+01 +8.625961757e+01 +8.465961757e+01 +8.465961757e+01 +4.1924e+00 -4.6026e+00 +4.7267e+00 -3.1481e+00 -4.7319e+00 -3.1471e+00 -2.2906e+00 -2.0635e+00 -3.1385e+00 -2.1180e+00 -4.3241e+00 -4.1720e+00 -3.9832e+00 -2.1741e+00 +4.8951e+00 -1.5856e-01 +4.3644e-01 +2.7564e+00 +3.9663e+00 -3.7981e+00
941 +6.265039556e+01 +6.265039556e+01 +6.105039556e+01 +6.105039556e+01 -6.8969e-01 -2.1482e-01 +1.7573e+00 +3.2200e+00 -4.8563e+00 -3.4293e+00 -7.6469e-01 -4.0907e+00 +3.1551e+00 +1.3098e+00 -1.5974e+00 -1.8501e+00 -1.1320e+00 -4.0982e-01 -3.8428e+00 -1.5789e+00 +2.7886e+00 +7.2183e-02 -3.9353e+00 -2.4080e+00
6657 +3.168245397e+01 +3.168245397e+01 +3.008245397e+01 +3.008245397e+01 +6.9675e-01 -3.9111e+00 +1.8135e+00 +1.4902e+00 -3.8740e+00 +0.0000e+00 -2.1316e+00 -3.2447e+00 +9.6993e-01 +6.2189e-01 -1.7962e+00 +0.0000e+00 -2.6230e+00 +3.5360e-01 -5.0000e+00 -3.1830e+00 +4.8598e+00 +5.1626e-01 -4.1973e+00 -3.1125e-01
9081 +1.993333439e+01 +1.993333439e+01 +1.833333439e+01 +1.833333439e+01 +4.2930e-01 -3.1772e+00 +1.0961e+00 +3.4606e+00 -4.1039e+00 -1.3768e+00 -2.2407e+00 -3.9566e+00 +0.0000e+00 +2.3230e+00 -2.4451e+00 +2.1788e+00 -2.6227e+00 +9.9213e-01 -5.0000e+00 -5.0000e+00 +4.2739e+00 -1.1526e+00 -4.1440e+00 -5.3710e-01
10695 +1.361822878e+01 +1.361822878e+01 +1.201822878e+01 +1.201822878e+01 +1.6338e+00 -2.8806e+00 +7.2315e-01 +3.8497e+00 -3.1155e+00 -1.6445e+00 -1.4294e+00 -2.0625e+00 +5.6467e-01 +2.4855e+00 -2.7075e+00 +2.4858e+00 -2.7481e+00 +1.0126e+00 -5.0000e+00 -5.0000e+00 +4.6925e+00 -7.9199e-01 -3.8547e+00 -3.4707e-01
14576 +9.608315740e+00 +9.608315740e+00 +8.008315740e+00 +8.008315740e+00 -3.0788e-01 -2.7590e+00 +7.4824e-01 +3.8400e+00 -2.8412e+00 -5.3636e-01 -1.5297e+00 -2.6051e+00 +2.1046e-01 +2.4139e+00 -3.8108e+00 +2.6037e+00 -3.5750e+00 +1.8013e+00 -4.7022e+00 -5.0000e+00 +4.2714e+00 -3.5312e-01 -3.9110e+00 -1.4843e-01
17842 +5.987247671e+00 +5.987247671e+00 +4.387247671e+00 +4.387247671e+00 +1.9828e+00 -6.6852e-01 +8.1345e-01 +2.9315e+00 -1.8363e+00 +4.0385e-02 -2.1422e+00 -2.5780e+00 -1.1125e+00 +2.2815e+00 -2.9173e+00 +4.4126e+00 -3.2391e+00 +8.4663e-01 -4.9249e+00 -4.4047e+00 +4.8073e+00 -3.7429e-01 -3.5753e+00 +1.0425e-01
21100 +3.780360947e+00 +3.780360947e+00 +2.180360947e+00 +2.180360947e+00 +1.6419e+00 -1.7792e+00 +5.6418e-01 +2.4692e+00 -1.8075e+00 +2.6710e-01 -2.8507e+00 -2.6737e+00 +1.7514e-01 +3.1595e+00 -2.7293e+00 +3.4891e+00 -2.2451e+00 +1.6255e-01 -3.8765e+00 -4.7594e+00 +4.9008e+00 +2.5224e-02 -2.4947e+00 +4.2948e-01
22316 +2.441249146e+00 +2.441249146e+00 +8.412491455e-01 +8.412491455e-01 +1.7165e+00 -1.5341e+00 +1.0731e+00 +3.2366e+00 -1.7960e+00 +1.5646e-01 -3.2715e+00 -3.8350e+00 -9.9724e-03 +3.9712e+00 -3.2347e+00 +3.9253e+00 -2.2992e+00 +1.1234e+00 -4.4912e+00 -4.8719e+00 +4.9636e+00 +7.2905e-01 -2.0693e+00 +1.0160e+00
32319 +1.522867345e+00 +1.522867345e+00 -7.713265504e-02 -7.713265504e-02 +7.5407e-01 -1.6253e+00 +1.1432e+00 +3.1783e+00 -2.2862e+00 -2.3474e-02 -2.7907e+00 -3.1778e+00 +8.1404e-01 +2.9195e+00 -3.5622e+00 +3.3650e+00 -2.7116e+00 +1.0349e+00 -4.4129e+00 -4.4930e+00 +4.3308e+00 -4.5233e-02 -2.2752e+00 +6.6643e-01
34485 +6.739226964e-01 +6.739226964e-01 -9.260773036e-01 -9.260773036e-01 +9.6003e-01 -1.4789e+00 +1.2226e+00 +2.8637e+00 -2.8963e+00 -1.2349e-01 -2.8307e+00 -2.8933e+00 +1.1547e+00 +3.0463e+00 -3.4592e+00 +2.8530e+00 -2.8139e+00 +1.2918e+00 -4.2907e+00 -4.7442e+00 +3.8413e+00 +4.1529e-01 -2.7019e+00 +6.9953e-01
