% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.397820553e+06 +8.397820553e+06 +8.397765613e+06 +8.397765613e+06 +3.5063e+00 +1.0426e+00 -2.7099e+00 +4.3305e+00 +3.8212e+00 -3.5700e+00 +4.1072e+00 -4.7118e+00 +1.3588e+00 -4.8654e+00 -3.7507e+00 -3.1052e-01 +4.1748e+00 -4.3820e+00 +9.3245e-01 +2.4773e+00 +2.1953e-01 +1.4654e-01 +2.5775e+00 +5.5370e-01
6 +3.059232697e+06 +3.059232697e+06 +3.059177757e+06 +3.059177757e+06 -4.5211e+00 -1.6158e+00 -7.1003e-01 -1.6221e+00 -4.7779e+00 -3.1348e+00 +1.6907e+00 +2.3473e+00 -1.5833e+00 +4.3723e-01 +1.7855e+00 -2.8774e+00 -4.7051e+00 -8.2675e-01 +2.8799e+00 -1.6607e+00 +1.9166e+00 +3.9409e+00 -1.8922e+00 -2.1169e+00
64 +2.324509396e+06 +2.324509396e+06 +2.324454456e+06 +2.324454456e+06 -1.5687e+00 +9.6455e-01 -2.9666e+00 +4.1897e+00 -5.0000e+00 -2.5756e+00 +3.5752e+00 +6.5452e-01 -2.9267e+00 -1.2345e+00 -3.5677e+00 -2.1795e+00 -6.8576e-01 -2.1288e+00 +2.6370e+00 -9.3244e-01 -1.3478e+00 +3.5142e+00 -4.1863e+00 -2.6526e+00
165 +1.154701910e+06 +1.154701910e+06 +1.154646970e+06 +1.154646970e+06 -8.4461e-01 -4.1353e-01 -3.6113e+00 +1.2587e+00 -2.4745e+00 -4.4441e+00 +3.6169e+00 +2.1583e+00 +1.3825e+00 -1.5531e+00 -2.2835e+00 -2.7073e-01 -7.2588e-01 -2.4724e+00 +1.0003e+00 +1.2208e+00 +2.7585e-02 +3.4050e+00 -3.4893e+00 -1.6887e+00
285 +8.857526752e+05 +8.857526752e+05 +8.856977352e+05 +8.856977352e+05 -2.6876e+00 -2.5246e+00 -4.3053e+00 +2.7368e+00 -2.5681e+00 -4.3338e+00 +3.5101e+00 +2.0777e+00 +0.0000e+00 +1.0313e+00 -2.4929e-01 +1.0185e+00 -8.7203e-01 -3.2560e+00 +6.3628e-01 +3.2296e+00 +0.0000e+00 +2.8250e+00 -2.8225e+00 -1.7120e+00
495 +6.287224307e+05 +6.287224307e+05 +6.286674907e+05 +6.286674907e+05 -2.8905e+00 -4.3500e+00 -4.1284e+00 +3.4779e+00 +2.7738e-01 -4.8321e+00 +2.6849e+00 +4.6233e-01 +1.4135e+00 +2.8651e+00 +1.9501e+00 +2.0052e+00 -1.0259e+00 -3.2779e+00 +1.6564e+00 +1.2928e+00 -3.0479e-01 +2.8863e+00 -6.8462e-02 -6.1946e-01
854 +3.745496581e+05 +3.745496581e+05 +3.744947181e+05 +3.744947181e+05 -3.0897e+00 -4.3298e+00 -4.2401e+00 +2.2329e+00 +1.1876e-01 -4.9208e+00 +3.0696e+00 +3.6663e+00 +1.8198e+00 -2.0553e-01 +1.4180e+00 +2.1757e+00 -7.0824e-02 -4.0178e+00 +1.9191e+00 +6.7127e-01 -8.8685e-01 +3.2446e+00 +1.4490e-01 -5.7919e-01
1811 +2.308168604e+05 +2.308168604e+05 +2.307619204e+05 +2.307619204e+05 -4.0788e+00 -4.0505e+00 -3.7221e+00 +1.0409e+00 +1.3133e+00 -4.9678e+00 +2.5090e+00 +9.9144e-01 +1.7949e+00 -7.5727e-01 +2.5343e+00 +1.6209e+00 +2.4349e+00 -3.7281e+00 +1.8248e+00 +1.1982e+00 -8.6160e-02 +2.0133e+00 +1.7427e+00 +1.0031e-01
2225 +1.468730248e+05 +1.468730248e+05 +1.468180848e+05 +1.468180848e+05 -3.7626e+00 -3.0090e+00 -4.0047e+00 +1.8112e+00 +9.5946e-02 -4.9685e+00 +3.0695e+00 +4.2096e-01 +1.7038e+00 +1.8759e-01 +1.2021e+00 +1.5144e+00 +3.1862e+00 -3.4999e+00 +1.9478e+00 +2.5099e+00 +1.6054e-01 +2.1147e+00 +1.2470e+00 -1.1307e-01
5322 +9.883127897e+04 +9.883127897e+04 +9.877633897e+04 +9.877633897e+04 -3.7140e+00 -2.7807e+00 -3.9778e+00 +2.2078e+00 +2.1530e-01 -4.9664e+00 +3.3829e+00 -2.1369e-01 +1.4953e+00 +4.5817e-01 +1.4384e+00 +1.5383e+00 +3.1689e+00 -3.4152e+00 +2.0915e+00 +1.6360e+00 +6.1130e-01 +1.8910e+00 +1.8226e+00 +2.7415e-01
