% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.236253596e+01 +5.236253596e+01 +3.542253596e+01 +3.542253596e+01 +4.5848e+00 +3.9453e+00 -3.7476e+00 -1.9215e+00 +1.8311e+00
6 +3.735170875e+01 +3.735170875e+01 +2.041170875e+01 +2.041170875e+01 +4.7218e+00 +7.7766e-01 -2.5772e+00 +4.0671e+00 +5.8277e-01
95 +2.202908981e+01 +2.202908981e+01 +5.089089811e+00 +5.089089811e+00 +4.5493e+00 +3.0049e+00 +1.3881e+00 +1.8250e+00 -1.3186e-02
153 +1.348077241e+01 +1.348077241e+01 -3.459227586e+00 -3.459227586e+00 +5.0000e+00 +3.4140e+00 -1.6390e+00 +4.2082e-01 +1.1437e+00
220 +6.149886845e+00 +6.149886845e+00 -1.079011315e+01 -1.079011315e+01 +1.2563e+00 +6.3244e-01 -2.9353e+00 +3.0961e+00 +2.2110e-01
862 +1.495095070e+00 +1.495095070e+00 -1.544490493e+01 -1.544490493e+01 +2.3403e+00 +1.2634e+00 -2.3161e+00 +2.5409e+00 +1.0269e+00
1271 +7.877341319e-01 +7.877341319e-01 -1.615226587e+01 -1.615226587e+01 +2.2774e+00 +1.3517e+00 -2.4168e+00 +2.5293e+00 +1.0099e+00
2054 +5.265959711e-01 +5.265959711e-01 -1.641340403e+01 -1.641340403e+01 +2.3347e+00 +1.2250e+00 -2.3591e+00 +2.5868e+00 +1.0235e+00
2328 +3.875569718e-01 +3.875569718e-01 -1.655244303e+01 -1.655244303e+01 +2.3331e+00 +1.2282e+00 -2.3604e+00 +2.5922e+00 +1.0290e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.973258892e+01 +6.973258892e+01 +8.854258892e+01 +8.854258892e+01 -2.8883e+00 +2.1626e+00 -3.2692e-01 -1.4097e+00 +2.1534e+00
2 +3.310424647e+01 +3.310424647e+01 +5.191424647e+01 +5.191424647e+01 -3.1568e+00 +2.0244e-01 -1.8914e-01 +3.4092e+00 -1.6508e+00
17 +2.172505601e+01 +2.172505601e+01 +4.053505601e+01 +4.053505601e+01 -6.4784e-01 +1.9461e+00 -3.9744e-01 +1.2688e+00 -2.4554e+00
167 +5.393914256e+00 +5.393914256e+00 +2.420391426e+01 +2.420391426e+01 -9.0496e-01 +2.9641e+00 -1.6996e+00 +1.1430e+00 +3.2841e-01
693 +3.841202459e+00 +3.841202459e+00 +2.265120246e+01 +2.265120246e+01 -5.7746e-01 +1.5508e+00 -1.0145e+00 +5.5924e-01 +1.0257e+00
768 +2.279902362e+00 +2.279902362e+00 +2.108990236e+01 +2.108990236e+01 -4.3373e-01 +1.9039e+00 -7.3179e-01 -1.0801e-01 +1.9683e+00
909 +1.559650833e+00 +1.559650833e+00 +2.036965083e+01 +2.036965083e+01 +1.6244e-01 +1.1662e+00 -6.3625e-01 -9.2979e-01 +2.4492e+00
1623 +9.437458744e-01 +9.437458744e-01 +1.975374587e+01 +1.975374587e+01 +1.2907e-01 +1.1281e+00 -6.4169e-01 -9.4899e-01 +2.4754e+00
1824 +3.759632916e-01 +3.759632916e-01 +1.918596329e+01 +1.918596329e+01 +8.0037e-02 +1.1100e+00 -6.3059e-01 -9.9295e-01 +2.5106e+00
2073 +2.376432569e-01 +2.376432569e-01 +1.904764326e+01 +1.904764326e+01 +7.9221e-02 +1.1034e+00 -6.3937e-01 -1.0011e+00 +2.5082e+00
3739 +1.562017135e-01 +1.562017135e-01 +1.896620171e+01 +1.896620171e+01 +8.3304e-02 +1.1027e+00 -6.4019e-01 -1.0019e+00 +2.5095e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.399074254e+01 +7.399074254e+01 +3.471407425e+02 +3.471407425e+02 +3.3676e+00 -2.2927e-01 -4.4372e+00 +4.4317e+00 +3.6060e+00
8 +4.235780356e+01 +4.235780356e+01 +3.155078036e+02 +3.155078036e+02 +4.0349e+00 +3.1924e+00 -3.1225e-02 -2.0543e+00 +5.8233e-01
28 +2.834273974e+01 +2.834273974e+01 +3.014927397e+02 +3.014927397e+02 +4.3569e-02 +3.4287e+00 -1.2508e+00 +2.5668e+00 +3.1831e+00
45 +2.501389890e+01 +2.501389890e+01 +2.981638989e+02 +2.981638989e+02 +4.8896e-02 +2.2793e+00 +3.5438e+00 +3.7195e+00 +2.3056e+00
194 +1.413933535e+01 +1.413933535e+01 +2.872893353e+02 +2.872893353e+02 -3.6722e-01 +3.3437e+00 +2.3761e+00 +2.6974e+00 +1.7957e+00
210 +7.803219413e+00 +7.803219413e+00 +2.809532194e+02 +2.809532194e+02 -1.6846e+00 +4.0934e+00 -3.4165e-02 +1.9013e+00 +1.5730e+00
327 +4.207105309e+00 +4.207105309e+00 +2.773571053e+02 +2.773571053e+02 -8.4479e-01 +3.8436e+00 -2.9692e-01 +2.1133e+00 +1.6196e+00
486 +3.921400324e+00 +3.921400324e+00 +2.770714003e+02 +2.770714003e+02 -5.3192e-01 +3.7882e+00 -9.3162e-02 +1.9920e+00 +1.6149e+00
726 +2.392690903e+00 +2.392690903e+00 +2.755426909e+02 +2.755426909e+02 -6.8016e-01 +3.8488e+00 -2.6477e-01 +2.0622e+00 +1.5521e+00
1090 +1.079371065e+00 +1.079371065e+00 +2.742293711e+02 +2.742293711e+02 -4.9529e-01 +3.8674e+00 -2.6140e-01 +2.0268e+00 +1.4309e+00
